x y
475	0.00654
476	0.006489
477	0.006437
478	0.006384
479	0.00633
480	0.006276
481	0.006221
482	0.006165
483	0.006108
484	0.006051
485	0.005994
486	0.005935
487	0.005877
488	0.005817
489	0.005758
490	0.005698
491	0.005637
492	0.005576
493	0.005515
494	0.005453
495	0.005391
496	0.005329
497	0.005266
498	0.005203
499	0.00514
500	0.005077
501	-4.906
502	-4.418
503	-3.984
504	-3.598
505	-3.255
506	-2.949
507	-2.678
508	-2.436
509	-2.221
510	-2.03
511	-1.86
512	-1.709
513	-1.574
514	-1.454
515	-1.346
516	-1.248
517	-1.157
518	-1.068
519	-0.9761
520	-0.875
521	-0.7587
522	-0.6234
523	-0.4712
524	-0.3
525	-0.1074
526	0.1029
527	0.3276
528	0.5637
529	0.809
530	1.062
531	1.321
532	1.586
533	1.855
534	2.128
535	2.404
536	2.684
537	2.965
538	3.25
539	3.536
540	3.825
541	4.116
542	4.409
543	4.704
544	5.002
545	5.303
546	5.683
547	5.997
548	6.323
549	6.66
550	7
551	7.364
552	7.743
553	8.138
554	8.554
555	8.99
556	9.452
557	9.943
558	10.47
559	11.03
560	11.64
561	12.3
562	13.03
563	13.84
564	14.76
565	15.83
566	17.13
567	18.78
568	21.11
569	25.09
570	27.55
571	28.82
572	30.21
573	31.9
574	49.49
575	69.23
576	76.34
577	81.46
578	87.28
579	94.31
580	102.4
581	111.2
582	120.7
583	130.8
584	141.2
585	152.2
586	163.4
587	175
588	186.9
589	198.3
590	204.7
591	212
592	219.7
593	227.6
594	235.5
595	243.4
596	251.3
597	259.2
598	266.9
599	274.3
600	281.6
601	301.4
602	309.3
603	316.9
604	324.3
605	331.6
606	338.7
607	345.9
608	353.8
609	366.4
610	374
611	380.2
612	386.1
613	391.5
614	396.6
615	401.4
616	409.1
617	415.3
618	422.7
619	438.6
620	441.6
621	446.2
622	450.6
623	454.5
624	458.1
625	461.3
626	460.7
627	456.6
628	453.3
629	450.5
630	447.9
631	445.1
632	441.9
633	438
634	433.1
635	426.9
636	419.1
637	410.1
638	399.9
639	388.8
640	376.9
641	364.3
642	351
643	336.2
644	322.1
645	308.3
646	294.1
647	277.7
648	259.5
649	244.2
650	229.3
651	215
652	201.2
653	188.1
654	175.6
655	163.8
656	152.6
657	142.1
658	132.3
659	123.1
660	114.6
661	106.6
662	99.17
663	92.3
664	85.93
665	80.04
666	74.59
667	69.56
668	64.92
669	60.63
670	56.68
671	53.04
672	49.68
673	46.58
674	43.73
675	41.1
676	38.67
677	36.43
678	34.36
679	32.45
680	30.69
681	29.06
682	27.55
683	26.16
684	24.87
685	23.67
686	22.57
687	21.54
688	20.58
689	19.7
690	18.87
691	18.1
692	17.39
693	16.72
694	16.1
695	15.52
696	14.98
697	14.48
698	14
699	13.56
700	13.15
701	12.76
702	12.39
703	12.05
704	11.73
705	11.43
706	11.15
707	10.88
708	10.63
709	10.39
710	10.17
711	9.962
712	9.764
713	9.577
714	9.401
715	9.234
716	9.077
717	8.929
718	8.788
719	8.655
720	8.529
721	8.41
722	8.297
723	8.19
724	8.088
725	7.992
726	7.9
727	7.813
728	7.731
729	7.653
730	7.578
731	7.507
732	7.44
733	7.375
734	7.314
735	7.256
736	7.2
737	7.173
738	7.161
739	7.164
740	7.178
741	7.202
742	7.235
743	7.276
744	7.324
745	7.378
746	7.437
747	7.5
748	7.568
749	7.638
750	7.711
751	7.786
752	7.864
753	7.942
754	8.022
755	8.103
756	8.185
757	8.267
758	8.35
759	8.433
760	8.515
761	8.598
762	8.68
763	8.762
764	8.843
765	8.924
766	9.004
767	9.083
768	9.161
769	9.239
770	9.316
771	9.391
772	9.466
773	9.54
774	9.613
775	9.684
