0.000000	0.000000	0.000000	0.000000	0.000000
0.100000	0.082484	0.027491	0.037784	0.017209
0.200000	0.164421	0.054791	0.075274	0.034355
0.300000	0.245816	0.081904	0.112475	0.051437
0.400000	0.326676	0.108830	0.149390	0.068456
0.500000	0.407004	0.135572	0.186021	0.085412
0.600000	0.486807	0.162131	0.222371	0.102305
0.700000	0.566088	0.188509	0.258443	0.119136
0.800000	0.644854	0.214709	0.294241	0.135904
0.900000	0.723108	0.240731	0.329767	0.152610
1.000000	0.800856	0.266577	0.365023	0.169255
1.100000	0.878102	0.292250	0.400014	0.185839
1.200000	0.954851	0.317750	0.434741	0.202361
1.300000	1.031108	0.343080	0.469206	0.218822
1.400000	1.106877	0.368241	0.503414	0.235222
1.500000	1.182163	0.393234	0.537366	0.251562
1.600000	1.256970	0.418062	0.571066	0.267842
1.700000	1.331302	0.442726	0.604515	0.284062
1.800000	1.405164	0.467227	0.637716	0.300222
1.900000	1.478561	0.491566	0.670672	0.316323
2.000000	1.551496	0.515747	0.703385	0.332364
2.100000	1.623973	0.539769	0.735857	0.348347
2.200000	1.695997	0.563635	0.768092	0.364271
2.300000	1.767572	0.587345	0.800091	0.380136
2.400000	1.838702	0.610902	0.831857	0.395943
2.500000	1.909390	0.634306	0.863392	0.411692
2.600000	1.979641	0.657560	0.894698	0.427383
2.700000	2.049459	0.680664	0.925778	0.443017
2.800000	2.118847	0.703620	0.956634	0.458593
2.900000	2.187810	0.726429	0.987268	0.474113
3.000000	2.256350	0.749093	1.017682	0.489575
3.100000	2.324472	0.771612	1.047879	0.504981
3.200000	2.392180	0.793989	1.077860	0.520331
3.300000	2.459476	0.816225	1.107627	0.535624
3.400000	2.526365	0.838320	1.137184	0.550862
3.500000	2.592850	0.860276	1.166531	0.566043
3.600000	2.658935	0.882094	1.195671	0.581170
3.700000	2.724623	0.903776	1.224606	0.596241
3.800000	2.789917	0.925322	1.253338	0.611257
3.900000	2.854821	0.946735	1.281868	0.626218
4.000000	2.919338	0.968014	1.310199	0.641125
4.100000	2.983471	0.989162	1.338332	0.655977
4.200000	3.047224	1.010179	1.366270	0.670776
4.300000	3.110601	1.031067	1.394014	0.685520
4.400000	3.173603	1.051826	1.421566	0.700211
4.500000	3.236234	1.072458	1.448928	0.714848
4.600000	3.298498	1.092965	1.476101	0.729432
4.700000	3.360397	1.113346	1.503088	0.743963
4.800000	3.421935	1.133603	1.529891	0.758441
4.900000	3.483114	1.153737	1.556510	0.772867
5.000000	3.543937	1.173750	1.582948	0.787240
