0,0.000000,0.000000
1e-09,0.000000,0.000000
2e-09,1.397066,0.399162
3e-09,1.719630,0.719415
4e-09,1.895556,0.895659
5e-09,1.972605,0.972633
6e-09,1.998973,0.998974
7e-09,2.004659,1.004655
8e-09,2.003934,1.003930
9e-09,2.002217,1.002214
1e-08,2.000987,1.000986
1.1e-08,2.000346,1.000346
1.2e-08,2.000080,1.000080
1.3e-08,1.999994,0.999994
1.4e-08,1.999980,0.999980
1.5e-08,1.999985,0.999985
1.6e-08,1.999992,0.999992
1.7e-08,1.999997,0.999997
1.8e-08,1.999999,0.999999
1.9e-08,2.000000,1.000000
2e-08,2.000000,1.000000
2.1e-08,2.000000,1.000000
2.2e-08,2.000000,1.000000
2.3e-08,2.000000,1.000000
2.4e-08,2.000000,1.000000
2.5e-08,2.000000,1.000000
2.6e-08,2.000000,1.000000
2.7e-08,2.000000,1.000000
2.8e-08,2.000000,1.000000
2.9e-08,2.000000,1.000000
3e-08,2.000000,1.000000
3.1e-08,2.000000,1.000000
3.2e-08,2.000000,1.000000
3.3e-08,2.000000,1.000000
3.4e-08,2.000000,1.000000
3.5e-08,2.000000,1.000000
3.6e-08,2.000000,1.000000
3.7e-08,2.000000,1.000000
3.8e-08,2.000000,1.000000
3.9e-08,2.000000,1.000000
4e-08,2.000000,1.000000
4.1e-08,2.000000,1.000000
4.2e-08,2.000000,1.000000
4.3e-08,2.000000,1.000000
4.4e-08,2.000000,1.000000
4.5e-08,2.000000,1.000000
4.6e-08,2.000000,1.000000
4.7e-08,2.000000,1.000000
4.8e-08,2.000000,1.000000
4.9e-08,2.000000,1.000000
5e-08,2.000000,1.000000
